Въпрос;Отговор;Снимка (линк);Снимка отговор (линк)
Колко вида мускулна тъкан има и кои са те?;Три. Скелетна (напречнонабраздена), гладка и сърдечна.;;
Как се управлява скелетната мускулатура?;Волево чрез централната нервна система.;;
Какво е характерно за съкращенията на скелетната мускулатура?;Силни съкращения, но бързо настъпва умора.;;
Как се управлява гладката мускулатура?;Неволево от вегетативната нервна система.;;
Къде се намира гладката мускулатура?;Участва в изграждането на стените на кухите вътрешни органи на храносмилателната, дихателната и отделителната система ѝ (стените на кухите органи), както и на кръвоносните и лимфните съдове.;;
Какво характерно за гладката мускулатура по отношение на уморяемостта?;Няма свойството уморяемост, тъй като работи по-бавно и консумира по-малка енергия.;;
Как се управлява сърдечната мускулатура?;Неволево от вегетативната нервна система.;;
Какво означава „автоматия“ на сърцето?;Способността на сърдечната мускулатура самостоятелно да генерира възбудни импулси чрез възбудно-проводната система.;;
"Кой е естественият ""пейсмейкър"" на сърцето?";Синусовият (синоатриален) възел, разположен в дясното предсърдие. В него се заражда електрическия импулс, който постепенно се предава към предсърдията, оттам надолу към камерите.;;
Какви функции имат кардиомиоцитите?;Кардиомиоцитът е специализирана мускулна клетка на сърцето (миокарда). Има проводна (да провежда импулсите, генерирани в синусовия възел към работната мускулатура) и контрактилна (да се съкращава) функция.;;
Кои са основните свойства на мускулната тъкан?;Съкратимост, възбудимост и проводимост.;;
Кое свойство е уникално за мускулната тъкан?;Съкратимост (способността на мускулната клетка да се съкращава в отговор на възбуждане).;;
Какво представлява свойството възбудимост?;Способност за реакция на нервни и химични сигнали.;;
Какво представлява свойството проводимост?;Способност за разпространение на възбудния импулс към съседни клетки.;;
Флексия;"Движение, при което ъгълът между две кости намалява (сгъване).
Извършва се от: Флексори (сагитална равнина)";;
Екстензия;"Движение, при което ъгълът между две кости се увеличава (разгъване).
Извършва се от: Екстензори (сагитална равнина)";;
Абдукция;"Отвеждане на крайник или част от него от срединната линия на тялото.
Извършва се от: Абдуктори (фронтална равнина)";;
Аддукция;"Привеждане на крайник или част от него към срединната линия на тялото.
Извършва се от: Аддуктори (фронтална равнина)";;
Ротация;"Завъртане на част от тялото около надлъжната ѝ ос.
Извършва се от:  (вътрешни и външни) Ротатори (трансверзална равнина)";;
Супинация;"Завъртане на предмишницата, при което дланта се обръща напред и нагоре.
Извършва се от: Супинатори (трансверзална равнина)
""държим супа“ ☕";;
Пронация;"Завъртане на предмишницата, при което дланта се обръща назад или надолу.
Извършва се от: Пронатори (трансверзална равнина)";;
Какво означава, че мускул преминава през става?;Участва в движението на ставата.;;
Какво са едноставни мускули?;Мускули, преминаващи през една става.;;
Какво са двуставни мускули?;Мускули, преминаващи през две стави.;;
Какво представлява началното залавно място?;Проксималното залавяне на мускула.;;
Какво представлява крайното залавно място?;Дисталното залавяне на мускула.;;
Какво е антагонист?;"Мускулът, който извършва противоположно движение и контролира или ограничава действието на агониста.
➡️ Трицепсът извършва противоположното движение (екстензия) и контролира сгъването.";;
Какво е агонист?;"Основният мускул, извършващ движението.
➡️ Бицепсът извършва флексия в лакътна става.";;
Какво е неутрализатор?;"Мускул, който потиска нежелано допълнително движение на агониста, за да се осъществи чисто движение.
Неутрализатор: m. pronator teres
➡️ Бицепсът флексира, но и супинира; пронаторът неутрализира супинацията → получава се само флексия.";;
Какво е фиксатор?;"Мускул, който стабилизира (фиксира) проксималната част или началото на агониста, за да позволи ефективно движение.
Фиксатори: m. deltoideus (частично) и мускулите на раменния пояс
➡️ Те стабилизират раменната става, за да може бицепсът да действа ефективно.";;
Каква е функцията на сухожилията?;Сухожилията свързват мускулите с костите, като предават мускулната сила и генерират движение. Същевременно те осигуряват и стабилност на ставите и абсорбират част от шока при движение.;;
От каква тъкан са изградени сухожилията?;Плътна колагенна съединителна тъкан - изключително здрава, но слабо разтеглива, които им придават висока якост на опън и издръжливост. ;;
Как се наричат широките сухожилия?;Апоневрози.;;
Могат ли сухожилията да се съкращават?;"Не. Единствената контрактивна структура са мускулите. 
";;
Как се нарича мускулната клетка?;Мускулно влакно или миофибра.;;
Как се нарича цитоплазмата на мускулната клетка?;Саркоплазма.;;https://fitbg.net/attachments/Blog/931/includable/struktura-na-skeletnata-muskulatura.jpg
Как се нарича външната мембрана на мускулната клетка?;Сарколема.;;https://fitbg.net/attachments/Blog/931/includable/struktura-na-skeletnata-muskulatura.jpg
Как се нарича обвивката около целия мускул?;Епимизиум.;;https://fitbg.net/attachments/Blog/931/includable/struktura-na-skeletnata-muskulatura.jpg
Какво покрива мускула отвън, но не е част от него?;Фасция - мрежа от съединителна тъкан, съставена главно от колаген, която обвива и свързва мускули, органи, кости, нерви и кръвоносни съдове.;;
Каква е функцията на фасцията?;Осигурява опора, защита и отделяне на мускулите един от друг.;;
