Въпрос;Отговор
Какво изграждат клетките в организма?;Клетките изграждат тъканите, а тъканите – органите.
Какво е клетката?;Клетката е най-малката структурна и функционална единица на живите организми.
Кои две основни жизнени функции може самостоятелно да осъществява клетката?;Обмяна на веществата и размножаване.
С кое изобретение започват познанията ни за клетката?;С откриването на микроскопа.
Кой въвежда понятието „клетка“ и кога?;Робърт Хук през 1665 г.
Какво означава на латински думата „cellula“?;Означава „килийка“.
Кой формулира клетъчната теория и в кой период?;Томас Шван през 1838–1839 г.
Каква е основната идея на клетъчната теория?;Че всички организми са изградени от клетки с принципно сходно устройство.
Какви са клетките във външния слой на кожата по форма?;Плоски.
Каква е формата на мускулните клетки?;Вретеновидна.
Каква е формата на нервните клетки според текста?;Овални с дисковидна форма.
Какво общо имат всички клетки въпреки различната форма и размер?;Изградени са по принципно еднакъв начин.
Какво е зигота?;Оплодената яйцеклетка – първата клетка на новия организъм.
От какво възниква зиготата?;От сливането на две полови клетки (гамети) – сперматозоид и яйцеклетка.
Колко хромозоми съдържа всяка гамета (сперматозоид или яйцеклетка)?;23 хромозоми.
Колко хромозоми съдържа зиготата и защо?;46 хромозоми – 23 от сперматозоида и 23 от яйцеклетката.
Колко хромозоми има всяка клетка в човешкия организъм (освен половите клетки)?;46 хромозоми.
Колко двойки автозоми има човек?;22 двойки автозоми.
Какво представлява 23-тата двойка хромозоми?;Половите хромозоми, които определят пола.
Кой набор полови хромозоми определя женски пол?;XX.
Кой набор полови хромозоми определя мъжки пол?;XY.
В кои клетки се срещат 23 хромозоми, а не 46?;Само в половите клетки (гаметите).
Защо в началния етап зиготата се дели бързо без да увеличава обема си?;За да не заседне в маточната тръба и да не се получи извънматочна бременност.
Какво представлява морулата?;Многоклетъчна структура като „топче от клетки“, образувана след бързи деления на зиготата.
Какво се случва при бластулацията?;Клетките се подреждат около кухина (бластоцела) и се оформя бластула.
Коя е първата структура, при която ясно се различават вътрешност и повърхност на зародиша?;Бластулата.
От кой слой клетки се образува ембрионът?;От вътрешния слой клетки на бластулата.
От кой слой клетки се образува плацентата?;От външния слой клетки на бластулата.
Кога бластулата се прикрепя към маточната лигавица и как се нарича този процес?;На 6–7 ден – процесът се нарича имплантация.
Как се нарича маточната лигавица?;Ендометриум.
Кой етап започва след имплантацията на бластулата?;Гаструлация.
Какво се оформя по време на гаструлацията?;Трите зародишни пласта – ектодерма, мезодерма и ендодерма.
Кой зародишен пласт образува нервната система, кожата и сетивните органи?;Ектодермата.
Кой зародишен пласт образува мускулите, костите, сърцето и кръвоносните съдове?;Мезодермата.
Кой зародишен пласт образува вътрешните органи (черен дроб, черва, бели дробове)?;Ендодермата.
Какво започва след третата седмица от развитието?;Органогенеза – образуването на органи.
До кога продължава органогенезата?;До 8-мата седмица.
Как се нарича периодът след 8-мата седмица на развитие?;Фетален период.
Какво се случва през феталния период?;Растеж и узряване на вече оформените органи.
До приблизително каква възраст завършва растежът и узряването на органите при човека?;Между 20 и 25-годишна възраст.
Кои основни жизнени функции се осъществяват в клетката?;Транспорт, синтез, клетъчно дишане и секреция.
Кои са двата големи класа вещества в химичния състав на клетката?;Неорганични и органични вещества.
Кой е основният неорганичен компонент на клетката?;Водата (около 60–75%).
Кои са основните неорганични йони в клетката?;K⁺, Na⁺, Ca²⁺, Mg²⁺, Cl⁻, HCO₃⁻ и др.
Кои са основните групи органични вещества в клетката?;Протеини, липиди, въглехидрати и нуклеинови киселини.
Какво са липидите?;Органични вещества, неразтворими във вода и разтворими в мастни разтворители – всички видове мазнини в тялото.
Кои са основните роли на липидите в клетката?;Изграждат мембрани, съхраняват енергия, участват в хормони и клетъчна сигнализация.
Кои са основните видове липиди?;Триглицериди, фосфолипиди, холестерол (стероиди) и гликолипиди.
Какво е характерно за триглицеридите?;Основна форма за съхранение на енергия в мастните клетки.
Каква е ролята на фосфолипидите?;Основен строителен материал на клетъчните мембрани.
Коя е ролята на холестерола в мембраната?;Стабилизира и регулира fluidity-то на мембраната.
Какво са гликолипидите?;Липиди с въглехидратна част, важни за клетъчно разпознаване.
Какво представляват прокариотните клетки?;Клетки без обособено ядро – генетичният материал не е отделен с ядрена мембрана.
Дай примери за прокариотни организми.;Бактерии и синьо-зелени (цианобактериални) водорасли.
Какво представляват еукариотните клетки?;Клетките на всички растителни и животински организми с обособено ядро и органели.
Кои три основни форми на клетки се споменават като пример за специализация при еукариотите?;Плоски кожни клетки, вретеновидни мускулни клетки и овални нервни клетки.
Кои са трите основни части на една еукариотна клетка?;Клетъчна мембрана, цитоплазма и клетъчно ядро.
Каква е основната функция на клетъчната мембрана?;Да обособява клетката и да осъществява връзката ѝ с вътрешната течна среда на организма.
Какво означава, че мембраната има избирателна пропускливост?;Че контролира кои вещества преминават през нея и регулира състава на клетъчното съдържимо.
Между кои две среди е границата клетъчната мембрана?;Между екстрацелуларната (извънклетъчната) и интрацелуларната (вътреклетъчната) течност.
От колко слоя е изградена клетъчната мембрана?;От три слоя – външен, липиден междинен и вътрешен белтъчен слой.
Какво представлява цитоплазмата?;Вътрешното съдържимо на клетката без ядрото – цитозол плюс органели и включения.
Какъв тип система е цитоплазмата?;Сложна колоидна система.
Назови поне три процеса, които се извършват в цитоплазмата.;Гликолиза, синтез на белтъци в рибозомите, синтез на липиди в гладък ЕР, транспорт с везикули, разграждане в лизозоми.
Кои са трите основни компонента на цитоплазмата?;Цитозол, органели и цитоскелет.
Раздели органелите по структура на две групи.;Мембранни (ЕР, Голджи, митохондрии, лизозоми) и немембранни (рибозоми, микротубули).
Какво представлява ендоплазматичният ретикулум (ЕР)?;Мрежа от мембрани и канали между ядрото и мембраната, участваща в синтез и транспорт на вещества.
Какво се синтезира основно в гранулирания (груб) ЕР?;Белтъци, синтезирани от рибозомите по мембраните.
Какво се синтезира основно в агранулирания (гладък) ЕР?;Липиди.
Какво представляват рибозомите?;Малки зърнести структури, съдържащи РНК, които синтезират белтъци.
Каква е основната роля на апарата на Голджи?;Преработва, модифицира, складира и насочва вещества за секреция или за мембраната.
Какво образуват лизозомите и каква им е функцията?;Те са мехурчета със смилателни ензими, извършват вътреклетъчно смилане и разграждане на отпадни и чужди вещества.
В кои клетки лизозомите са най-многобройни?;Във фагоцитарно активни клетки като макрофаги и остеокласти.
Защо митохондриите се наричат „силовите станции“ на клетката?;Защото в тях се разграждат органични вещества и се произвежда АТФ – енергията на клетката.
В кои клетки има най-много митохондрии?;В клетки с голям енергиен разход като мускулните и нервните.
Каква е особената генетична характеристика на митохондриите?;Имат собствена ДНК.
Как се нарича основният процес за добив на енергия в митохондриите?;Клетъчно окисление (клетъчно дишане).
Кои са четирите основни етапа на клетъчното окисление на глюкозата?;Гликолиза, пируватно окисление, цикъл на Кребс, окислително фосфорилиране.
Къде в клетката протича гликолизата?;В цитоплазмата.
Какъв е крайният продукт на гликолизата при аеробни условия?;Две молекули пируват.
В какво се превръща пируватът в митохондриалния матрикс?;В ацетил-коензим А.
Какво се генерира основно в цикъла на Кребс?;CO₂, малко АТФ и голямо количество NADH и FADH₂.
Къде се осъществява електрон-транспортната верига?;Във вътрешната мембрана на митохондриите.
Каква е приблизителната обща енергийна печалба от аеробното окисление на една молекула глюкоза?;Около 36–38 молекули АТФ.
Какво се случва с пирувата при липса на кислород?;В цитоплазмата се превръща в лактат (млечна киселина).
Колко АТФ се образуват при анаеробна гликолиза?;Само 2 молекули АТФ.
Какво е метаболитна ацидоза?;Подкиселяване на кръвта (pH под 7,35) вследствие натрупване на кисели метаболити като лактат.
Кои органи са най-чувствителни към липса на кислород?;Сърцето, мозъкът и бъбреците.
Какво е сатурация?;Насищане на кръвта с кислород.
Защо при ниска сатурация трябва да се подава кислород?;За да се възстанови аеробното окисление и нормалното производство на АТФ.
Каква е основната функция на клетъчното ядро?;Контролен център – съдържа ДНК и генетичната информация.
Кои са двата основни вида нуклеинови киселини?;ДНК и РНК.
Каква е ролята на ДНК?;Съхранява наследствената генетична информация.
Каква е общата роля на РНК?;Пренася и реализира генетичната информация при синтез на белтъци.
При коя зряла клетка в човешкото тяло вторично липсва ядро?;При еритроцитите.
Защо еритроцитите изхвърлят ядрото си?;За да освободят максимално място за хемоглобин.
Как е устроена ядрената обвивка?;Двуслойна мембрана с пори, външният слой е свързан с ЕР.
Какво е кариоплазма?;Ядрен сок – вътрешното съдържимо на ядрото.
Какво е ядърце и каква е функцията му?;Структура в ядрото, която произвежда рибозомите (рРНК).
Какво е хроматин?;Дълги, декондензирани нишки ДНК с белтъци (хистони) в интерфаза.
В какво се превръща хроматинът по време на клетъчно делене?;В плътни хромозоми.
Защо кондензацията на ДНК в хромозоми е важна при делене?;Осигурява по-точно и равномерно разпределение на генетичния материал.
Кои три основни вида РНК се синтезират в ядрото?;Информационна (иРНК), транспортна (тРНК) и рибозомна (рРНК).
Каква е ролята на информационната РНК (иРНК)?;Копира участъци от ДНК и носи „рецептата“ за синтез на белтък към рибозомите.
Каква е ролята на транспортната РНК (тРНК)?;Доставя аминокиселините до рибозомите.
Каква е ролята на рибозомната РНК (рРНК)?;Основен структурен и каталитичен компонент на рибозомите.
Колко основни аминокиселини има и колко от тях са есенциални?;20 аминокиселини, от които 9 са есенциални.
Какво представлява клетъчният център (центрозомата)?;Органел до ядрото, съставен от две перпендикулярни центриоли, участват в цитоскелета и деленето.
Каква е ролята на центриолите при делене?;Организират делителното вретено и разпределянето на хромозомите към полюсите.
От какво е изграден цитоскелетът?;От микрофиламенти (актин), междинни филаменти и микротубули.
Какви са основните функции на цитоскелета?;Опорна и структурна – поддържа формата, осигурява движение и участва в деленето.
Какво представляват клетъчните включения?;Резервни хранителни вещества (гликоген, липиди) и пигментни зрънца (хемоглобин, меланин).
Дай пример за пигментни включения в кръвта и кожата.;Хемоглобин в еритроцитите и меланин в клетките на кожата.
Какво са миофибрилите и къде се намират?;Специализирани структури в мускулните клетки, съдържащи актин и миозин за съкращение.
Какво представлява цилията (ресничката)?;Къса ресничеста структура от микротубули, покрита с мембрана, осигурява движение на течности или самата клетка.
Дай пример за място в тялото, където има много цилии.;Лигавицата на назофаринкса, трахеята, фалопиевите (маточните) тръби.
Какво е флагела и къде я виждаме при човека?;Камшичеобразна опашка за движение – при сперматозоида.
Какво е акрозома при сперматозоида?;Специализирана структура в главичката, съдържа ензими за разграждане на обвивките на яйцеклетката.
Каква е основната роля на клетъчното делене?;Растеж, възстановяване на тъкани и размножаване на клетките.
Кои са двата основни типа клетъчно делене?;Митоза и мейоза.
Какво става с броя хромозоми при митозата?;От една клетка с 46 хромозоми се образуват две дъщерни клетки, всяка с 46 хромозоми.
За какво служи митозата в организма?;За растеж, възстановяване и поддръжка на тъканите.
В кои клетки при възрастни практически не се наблюдава митоза?;В зрели мускулни и нервни клетки.
Какво е особеното при възстановяване на силно увредена мускулна тъкан?;Може да се замести с фиброзна съединителна тъкан, която е нефункционална.
